City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Cockburn Town,TC,21.4612,-71.1419,80.17,87,99,17.98,overcast clouds
286,Poya,NC,-21.35,165.15,79.54,63,100,3.67,overcast clouds
287,Maun,BW,-19.9833,23.4167,47.82,47,0,7.27,clear sky
288,San-Pedro,CI,4.7485,-6.6363,77.04,83,77,6.15,broken clouds
289,Middleton,GB,53.55,-2.2,58.84,94,100,5.48,overcast clouds
290,Kavaratti,IN,10.5669,72.642,82.8,75,100,12.66,overcast clouds
291,Bac Lieu,VN,9.285,105.7244,83.41,76,80,9.17,broken clouds
292,Bengkulu,ID,-3.8004,102.2655,76.53,88,56,2.93,broken clouds
293,Cikampek,ID,-6.4197,107.4558,79.09,78,72,3.4,broken clouds
294,Freeport,US,40.6576,-73.5832,71.38,72,40,20.71,scattered clouds
295,Durant,US,33.994,-96.3708,86.43,66,75,8.05,broken clouds
296,Chimbote,PE,-9.0853,-78.5783,64.8,82,30,6.58,scattered clouds
297,Nebolchi,RU,59.1239,33.3454,46.15,69,11,3.94,few clouds
298,Tezu,IN,27.9167,96.1667,75.36,93,100,1.9,overcast clouds
299,Garden City,US,42.3256,-83.331,71.6,54,40,9.22,scattered clouds
300,Tripoli,LY,32.8752,13.1875,76.84,63,100,7.99,overcast clouds
301,Bundaberg,AU,-24.85,152.35,63.21,53,10,5.99,clear sky
302,Knysna,ZA,-34.0363,23.0471,64.51,43,0,6.93,clear sky
303,Abadan,IR,30.3392,48.3043,85.95,66,0,2.3,clear sky
304,Amapa,BR,1.0,-52.0,71.87,98,93,1.97,overcast clouds
305,Tiksi,RU,71.6872,128.8694,39.65,83,47,7.78,scattered clouds
306,Pepel,SL,8.5817,-13.0628,80.82,78,75,3.44,light rain
307,Kisiwani,TZ,-4.1333,37.95,64.02,86,24,2.98,few clouds
308,Byron Bay,AU,-28.65,153.6167,60.71,47,0,9.4,clear sky
309,Baruun-Urt,MN,46.6806,113.2792,61.84,44,100,7.94,overcast clouds
310,Pasighat,IN,28.0667,95.3333,75.56,97,100,2.3,light rain
311,Ormara,PK,25.2088,64.6357,81.09,84,2,16.31,clear sky
312,Saldanha,ZA,-33.0117,17.9442,51.85,50,1,8.79,clear sky
313,Salmon Arm,CA,50.6998,-119.3024,80.44,53,41,2.3,scattered clouds
314,Tokur,RU,53.1333,132.9,68.23,41,78,4.45,broken clouds
315,Gizo,SB,-8.103,156.8419,79.92,84,96,15.19,moderate rain
316,Vondrozo,MG,-22.8167,47.2833,58.73,99,50,2.39,scattered clouds
317,Borgarnes,IS,64.5383,-21.9206,53.65,88,100,1.25,overcast clouds
318,Poum,NC,-20.2333,164.0167,77.77,78,98,19.66,overcast clouds
319,Arlit,NE,18.7369,7.3853,89.62,12,84,9.98,broken clouds
320,Lacarak,RS,45.0022,19.5686,69.22,76,92,6.8,light rain
321,Kangaatsiaq,GL,68.3065,-53.4641,35.29,68,73,9.08,broken clouds
322,Duluth,US,46.7833,-92.1066,72.18,54,75,9.22,broken clouds
323,Matagami,CA,49.7502,-77.6328,55.51,100,100,8.05,mist
324,Chilakalurupet,IN,16.0833,80.1667,88.63,45,74,9.71,broken clouds
325,Orsha,BY,54.5153,30.4053,55.65,92,13,5.91,few clouds
326,Narsaq,GL,60.9167,-46.05,43.07,73,49,3.71,scattered clouds
327,Luena,AO,-11.7833,19.9167,48.61,64,0,5.26,clear sky
328,Dunedin,NZ,-45.8742,170.5036,55.8,50,100,1.66,overcast clouds
329,Pochutla,MX,15.7432,-96.4661,77.83,81,90,3.53,overcast clouds
330,Pedasi,PA,7.5333,-80.0333,75.07,84,100,13.62,overcast clouds
331,Tocopilla,CL,-22.092,-70.1979,61.12,79,23,1.36,few clouds
332,Port Blair,IN,11.6667,92.75,80.64,89,75,8.05,mist
333,Tiarei,PF,-17.5333,-149.3333,86.02,73,11,9.04,few clouds
334,Kudahuvadhoo,MV,2.6708,72.8944,81.5,72,100,6.96,overcast clouds
335,Suamico,US,44.6319,-88.0393,74.17,79,14,7.05,few clouds
336,Tornio,FI,65.8481,24.1466,41.02,78,13,3.13,few clouds
337,Mitu,CO,1.1983,-70.1733,73.0,97,100,0.43,overcast clouds
338,Rocha,UY,-34.4833,-54.3333,51.24,94,100,6.2,overcast clouds
339,Mwinilunga,ZM,-11.7358,24.4293,49.73,83,0,6.29,clear sky
340,Foumban,CM,5.7291,10.9001,62.51,96,100,3.89,light rain
341,Izberbash,RU,42.5696,47.8645,62.65,77,86,1.72,overcast clouds
342,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,66.51,84,25,6.69,scattered clouds
343,Zhigansk,RU,66.7697,123.3711,61.43,66,55,15.75,broken clouds
344,Codrington,AU,-38.2667,141.9667,51.73,73,100,13.51,overcast clouds
345,Raymond Terrace,AU,-32.75,151.75,57.0,54,0,23.02,clear sky
