City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Adrar,MR,2022-06-05 19:05:17,20.5022,-10.0711,97.61,11,100,11.23
173,Snasa,NO,2022-06-05 19:05:17,64.2457,12.3778,45.81,69,83,7.49
174,Yulara,AU,2022-06-05 19:05:17,-25.2406,130.9889,49.3,67,7,8.75
175,Hilo,US,2022-06-05 19:00:27,19.7297,-155.09,82.27,92,100,6.91
176,Mehran,IR,2022-06-05 19:05:18,33.1222,46.1646,100.47,10,16,10.2
177,Hervey Bay,AU,2022-06-05 19:05:18,-25.2986,152.8535,70.23,88,87,12.21
178,Slave Lake,CA,2022-06-05 19:02:52,55.2834,-114.769,63.7,37,100,11.45
179,Sao Joao Da Barra,BR,2022-06-05 19:05:19,-21.6403,-41.0511,73.49,54,41,11.7
180,Cerrito,CO,2022-06-05 19:05:19,6.8432,-72.694,60.06,83,100,1.14
181,Maceio,BR,2022-06-05 19:05:19,-9.6658,-35.7353,78.24,83,75,9.22
182,Moses Lake,US,2022-06-05 19:05:20,47.1301,-119.2781,70.48,64,20,9.22
183,Victoria,HK,2022-06-05 19:03:09,22.2855,114.1577,84.96,84,87,10.0
184,Mirnyy,RU,2022-06-05 19:06:20,62.5353,113.9611,53.89,97,100,4.45
185,Bambous Virieux,MU,2022-06-05 19:06:21,-20.3428,57.7575,72.21,74,7,14.92
186,Muhos,FI,2022-06-05 19:06:21,64.808,25.9931,49.78,52,6,8.32
187,Graaff-Reinet,ZA,2022-06-05 19:06:21,-32.2522,24.5308,48.92,88,4,0.83
188,Wewak,PG,2022-06-05 19:06:22,-3.5534,143.6268,76.89,87,91,4.32
189,Platonovka,RU,2022-06-05 19:06:22,52.7106,41.952,55.78,84,100,12.66
190,Lorengau,PG,2022-06-05 19:06:22,-2.0226,147.2712,79.14,74,8,3.15
191,Homewood,US,2022-06-05 19:06:24,33.4718,-86.8008,87.35,51,40,8.05
192,Mae Sai,TH,2022-06-05 19:06:24,20.4335,99.8762,72.84,97,100,1.07
193,Kysyl-Syr,RU,2022-06-05 19:06:24,63.8986,122.7617,56.95,68,54,5.64
194,Carnarvon,AU,2022-06-05 19:06:25,-24.8667,113.6333,67.05,44,2,6.31
195,Abu Dhabi,AE,2022-06-05 19:06:25,24.4667,54.3667,87.91,69,0,3.44
196,Talcahuano,CL,2022-06-05 19:06:26,-36.7167,-73.1167,55.08,88,100,10.36
197,Zeya,RU,2022-06-05 19:06:26,53.75,127.2667,55.02,59,15,3.09
198,Bandundu,CD,2022-06-05 19:06:26,-3.3167,17.3667,79.36,53,81,2.44
199,Raposa,BR,2022-06-05 19:06:27,-6.5167,-44.1833,84.27,49,64,9.08
200,Hazorasp,UZ,2022-06-05 19:06:27,41.3194,61.0742,71.44,11,15,8.66
201,Bilibino,RU,2022-06-05 19:06:27,68.0546,166.4372,34.27,61,94,5.12
202,San Matias,BO,2022-06-05 19:06:28,-16.3667,-58.4,96.58,22,26,8.12
203,Qaanaaq,GL,2022-06-05 19:06:28,77.484,-69.3632,32.2,67,0,1.97
204,Vila Do Maio,CV,2022-06-05 19:06:29,15.1333,-23.2167,77.79,86,3,22.3
205,Mount Gambier,AU,2022-06-05 19:03:33,-37.8333,140.7667,46.27,76,49,12.62
206,Klaksvik,FO,2022-06-05 19:06:29,62.2266,-6.589,50.92,85,100,10.33
207,Mpika,ZM,2022-06-05 19:06:30,-11.8343,31.4529,53.87,72,4,5.82
208,Andreapol,RU,2022-06-05 19:06:30,56.6513,32.2664,50.77,89,29,5.19
209,Madang,PG,2022-06-05 19:06:30,-5.2246,145.7966,74.93,91,28,3.74
210,Bushehr,IR,2022-06-05 19:06:31,28.9684,50.8385,88.93,46,96,0.94
211,Castro,BR,2022-06-05 19:06:31,-24.7911,-50.0119,64.17,72,98,3.44
212,Zhangye,CN,2022-06-05 19:06:31,38.9342,100.4517,70.77,33,100,3.02
213,Chowchilla,US,2022-06-05 19:06:32,37.123,-120.2602,88.02,47,0,10.36
214,Baykit,RU,2022-06-05 19:06:32,61.67,96.37,38.37,88,58,2.04
215,Zaragoza,ES,2022-06-05 19:01:50,41.6561,-0.8773,87.03,25,0,2.3
216,Karratha,AU,2022-06-05 19:06:33,-20.7377,116.8463,71.96,50,96,12.12
217,Arvika,SE,2022-06-05 19:06:33,59.6553,12.5852,66.81,58,13,4.68
218,Horki,BY,2022-06-05 19:06:33,54.2861,30.9842,53.49,83,2,6.08
219,Marsa Matruh,EG,2022-06-05 19:06:34,31.3525,27.2453,73.24,83,0,5.48
220,Ilulissat,GL,2022-06-05 19:06:34,69.2167,-51.1,41.02,48,10,18.41
221,Pevek,RU,2022-06-05 19:06:34,69.7008,170.3133,31.3,84,80,6.71
222,Kristiinankaupunki,FI,2022-06-05 19:06:35,62.2743,21.376,48.54,77,82,9.01
223,Chekmagush,RU,2022-06-05 19:06:35,55.1319,54.6556,56.66,82,100,3.13
224,Sasykoli,RU,2022-06-05 19:06:36,47.5515,46.9968,78.96,24,20,3.83
225,Ostrovnoy,RU,2022-06-05 19:06:36,68.0531,39.5131,54.75,81,98,6.8
226,Bethel,US,2022-06-05 19:02:48,41.3712,-73.414,77.18,38,0,9.22
227,Bairiki,KI,2022-06-05 19:06:37,1.3292,172.9752,80.6,74,20,11.5
228,Oranjestad,AW,2022-06-05 19:07:37,12.524,-70.027,89.55,58,20,21.85
229,Mitsamiouli,KM,2022-06-05 19:07:38,-11.3847,43.2844,78.22,74,79,13.71
230,Smolenka,RU,2022-06-05 19:07:38,52.1352,113.4974,48.27,100,100,0.0
231,Henties Bay,NA,2022-06-05 19:07:38,-22.116,14.2845,67.69,50,100,9.75
232,Bathsheba,BB,2022-06-05 19:07:39,13.2167,-59.5167,81.21,89,75,20.71
233,Balakhninskiy,RU,2022-06-05 19:07:39,58.0106,114.2769,57.04,82,100,2.13
234,Dana Point,US,2022-06-05 19:05:25,33.467,-117.6981,82.78,69,20,5.01
235,Seoul,KR,2022-06-05 19:06:18,37.5683,126.9778,65.64,92,100,4.03
236,Tateyama,JP,2022-06-05 19:07:40,34.9833,139.8667,68.09,82,75,6.91
237,Sangar,RU,2022-06-05 19:07:40,63.9242,127.4739,57.25,70,14,0.76
238,Tripoli,LY,2022-06-05 19:05:11,32.8752,13.1875,80.38,49,0,7.94
239,Tiarei,PF,2022-06-05 19:07:41,-17.5333,-149.3333,80.62,75,76,17.69
240,Kimbe,PG,2022-06-05 19:07:41,-5.5502,150.1429,73.96,91,65,3.22
241,Port Elizabeth,ZA,2022-06-05 19:07:41,-33.918,25.5701,62.1,87,6,4.0
242,Machali,CL,2022-06-05 19:07:42,-34.1833,-70.6667,63.68,34,75,5.75
243,Torit,SS,2022-06-05 19:07:42,4.4133,32.5678,78.91,47,42,3.38
244,Astoria,US,2022-06-05 19:07:42,46.1879,-123.8313,58.55,94,100,11.5
245,Heihe,CN,2022-06-05 19:07:43,50.2441,127.4902,51.33,74,39,3.24
246,Clyde River,CA,2022-06-05 19:07:43,70.4692,-68.5914,34.11,84,8,2.48
247,Port Macquarie,AU,2022-06-05 19:07:44,-31.4333,152.9167,41.9,74,6,6.55
248,Tandag,PH,2022-06-05 19:07:44,9.0783,126.1986,76.48,87,100,3.33
249,Pisco,PE,2022-06-05 19:04:52,-13.7,-76.2167,69.85,68,0,14.97
250,Gat,IL,2022-06-05 19:07:44,31.61,34.7642,82.4,58,0,6.08
251,Salalah,OM,2022-06-05 19:07:45,17.0151,54.0924,84.29,79,75,8.05
252,Padilla,CO,2022-06-05 19:07:45,3.2204,-76.3139,83.77,75,100,1.12
253,Georgetown,MY,2022-06-05 19:04:38,5.4112,100.3354,80.53,89,20,0.0
254,Upernavik,GL,2022-06-05 19:07:46,72.7868,-56.1549,30.97,62,0,9.24
255,Dapaong,TG,2022-06-05 19:07:46,10.8639,0.205,80.51,61,76,6.78
256,Port Lincoln,AU,2022-06-05 19:07:46,-34.7333,135.8667,53.73,59,72,16.31
257,Port Hardy,CA,2022-06-05 19:03:20,50.6996,-127.4199,55.36,92,100,4.25
258,Vilhena,BR,2022-06-05 19:07:47,-12.7406,-60.1458,88.07,29,4,4.07
259,At-Bashi,KG,2022-06-05 19:07:47,41.1702,75.8106,52.79,53,6,1.81
260,Comodoro Rivadavia,AR,2022-06-05 19:07:48,-45.8667,-67.5,51.66,32,0,8.05
261,La Ronge,CA,2022-06-05 19:07:48,55.1001,-105.2842,52.61,46,4,8.46
262,Ribeira Grande,PT,2022-06-05 19:07:48,38.5167,-28.7,66.6,88,75,1.14
263,Banjar,ID,2022-06-05 19:07:49,-8.19,114.9675,76.51,88,95,3.56
264,Jimma,ET,2022-06-05 19:07:49,7.6667,36.8333,59.52,93,94,0.6
